Tipo,M̩trica,Adults,"Adults Outliers 1,5","Adults Outliers 3,0"
AE,NNDR Min,"0,000","0,000","0,000"
AE,NNDR P05,"0,009","0,006","0,010"
AE,NNDR P25,"0,017","0,017","0,017"
AE,NNDR P50,"0,036","0,081","0,053"
AE,NNDR P75,"0,147","0,178","0,158"
VAE 1,NNDR Min,"0,000","0,000","0,000"
VAE 1,NNDR P05,"0,006","0,006","0,011"
VAE 1,NNDR P25,"0,017","0,017","0,021"
VAE 1,NNDR P50,"0,039","0,082","0,087"
VAE 1,NNDR P75,"0,149","0,180","0,224"
VAE 2,NNDR Min,"0,001","0,000","0,000"
VAE 2,NNDR P05,"0,012","0,008","0,010"
VAE 2,NNDR P25,"0,024","0,017","0,017"
VAE 2,NNDR P50,"0,045","0,081","0,053"
VAE 2,NNDR P75,"0,147","0,181","0,156"
CTAB-GAN,NNDR Min,"0,000","0,000","0,000"
CTAB-GAN,NNDR P05,"0,021","0,020","0,027"
CTAB-GAN,NNDR P25,"0,073","0,075","0,077"
CTAB-GAN,NNDR P50,"0,136","0,142","0,145"
CTAB-GAN,NNDR P75,"0,228","0,236","0,245"
